,band_name,baseline_x,baseline_y,baseline_z,pad
188,alma/f187,-50.30411069,-711.209498,-2.332024766,A019
189,alma/f187,-43.64407228,-652.7424613,-2.322696805,A022
190,alma/f187,-59.4042934,-667.5717395,-2.130365568,A023
191,alma/f187,-74.47461587,-684.6574595,-2.129342649,A024
192,alma/f187,-84.5230042,-704.8937799,-1.937681767,A025
193,alma/f187,-86.87286754,-732.2620426,-1.928810218,A026
194,alma/f187,-93.14292454,-745.9594809,-1.941492838,A027
195,alma/f187,-57.04992893,-645.4388456,-2.129055948,A028
196,alma/f187,-68.48107366,-698.470785,-2.334779889,A030
197,alma/f187,-95.8997254,-694.8901111,-1.927739915,A031
198,alma/f187,-105.4387377,-755.003357,-1.640752815,A033
199,alma/f187,-76.90232093,-718.1727584,-1.929073338,A034
200,alma/f187,-26.04186157,-726.1888088,-2.332575051,A035
201,alma/f187,-15.39951252,-746.3592279,-2.331879161,A036
202,alma/f187,-80.49715673,-765.1118313,-1.942599619,A038
203,alma/f187,-64.18907113,-771.1494896,-1.940145207,A039
204,alma/f187,-42.33954858,-777.8607093,-2.339781511,A040
205,alma/f187,-23.09339256,-778.6079363,-2.340774491,A041
206,alma/f187,2.382622676,-763.2855572,-2.838872989,A042
207,alma/f187,17.1053716,-766.5338029,-2.842286715,A043
208,alma/f187,-80.06703001,-780.3740238,-1.336451415,A044
209,alma/f187,-63.50521219,-786.8199568,-1.341060659,A045
210,alma/f187,-36.66707354,-762.1662821,-2.339843364,A046
211,alma/f187,-19.65399721,-794.5952314,-2.338743316,A047
212,alma/f187,-1.523355241,-788.9452581,-2.8370088,A048
213,alma/f187,30.35174917,-773.9188068,-3.336231664,A049
214,alma/f187,-15.04639784,-764.3348031,-2.335016467,A050
215,alma/f243,-33.89412596,-712.7516484,-2.330089496,A001
216,alma/f243,-17.45390887,-709.6086972,-2.32867142,A002
217,alma/f243,-22.5589292,-691.9838607,-2.323742384,A003
218,alma/f243,-5.421013146,-723.7911045,-2.334250518,A004
219,alma/f243,25.24593899,-744.4318445,-2.336684256,A005
220,alma/f243,20.94634824,-721.464646,-2.333017829,A006
221,alma/f243,15.93453511,-700.6757482,-2.32967552,A007
222,alma/f243,9.482335836,-687.0764746,-2.729176727,A008
223,alma/f243,-9.835100334,-663.8265957,-2.722704263,A009
224,alma/f243,-20.89371519,-653.559982,-2.43766594,A010
225,alma/f243,37.82617818,-735.8760818,-2.484749162,A011
226,alma/f243,0.965953711,-702.6549839,-2.325874408,A013
227,alma/f243,10.73987943,-659.5673638,-2.726261907,A015
228,alma/f243,-20.62042134,-633.9073418,-2.527672839,A016
229,alma/f243,-6.712372688,-684.9519378,-2.3269437,A017
230,alma/f243,-41.23929872,-725.9777278,-2.33663097,A018
231,alma/f243,-50.30411069,-711.209498,-2.332024766,A019
232,alma/f243,-43.64407228,-652.7424613,-2.322696805,A022
233,alma/f243,-59.4042934,-667.5717395,-2.130365568,A023
234,alma/f243,-74.47461587,-684.6574595,-2.129342649,A024
235,alma/f243,-84.5230042,-704.8937799,-1.937681767,A025
236,alma/f243,-86.87286754,-732.2620426,-1.928810218,A026
237,alma/f243,-93.14292454,-745.9594809,-1.941492838,A027
238,alma/f243,-57.04992893,-645.4388456,-2.129055948,A028
239,alma/f243,-68.48107366,-698.470785,-2.334779889,A030
240,alma/f243,-95.8997254,-694.8901111,-1.927739915,A031
241,alma/f243,-105.4387377,-755.003357,-1.640752815,A033
242,alma/f243,-76.90232093,-718.1727584,-1.929073338,A034
243,alma/f243,-26.04186157,-726.1888088,-2.332575051,A035
244,alma/f243,-15.39951252,-746.3592279,-2.331879161,A036
245,alma/f243,-80.49715673,-765.1118313,-1.942599619,A038
246,alma/f243,-64.18907113,-771.1494896,-1.940145207,A039
247,alma/f243,-42.33954858,-777.8607093,-2.339781511,A040
248,alma/f243,-23.09339256,-778.6079363,-2.340774491,A041
249,alma/f243,2.382622676,-763.2855572,-2.838872989,A042
250,alma/f243,17.1053716,-766.5338029,-2.842286715,A043
251,alma/f243,-80.06703001,-780.3740238,-1.336451415,A044
252,alma/f243,-63.50521219,-786.8199568,-1.341060659,A045
253,alma/f243,-36.66707354,-762.1662821,-2.339843364,A046
254,alma/f243,-19.65399721,-794.5952314,-2.338743316,A047
255,alma/f243,-1.523355241,-788.9452581,-2.8370088,A048
