0,xi,eta
430,0.005062,-0.01865
431,0.004732,-0.020035
432,0.005297,-0.019492
433,0.007403,-0.001566
434,0.007207,-0.002753
435,0.00701,-0.003811
436,0.00677,-0.005002
437,0.006494,-0.006098
438,0.006478,-0.0066
439,0.006005,-0.00834
440,0.005798,-0.009478
441,0.005546,-0.010605
442,0.005284,-0.011795
443,0.005069,-0.012905
444,0.004888,-0.014043
445,0.004654,-0.015142
446,0.004983,-0.015069
447,0.004318,-0.017415
448,0.003982,-0.018457
449,0.003702,-0.019761
450,0.004236,-0.019303
451,0.006359,-0.001275
452,0.006154,-0.002508
453,0.005883,-0.003595
454,0.00566,-0.00479
455,0.005413,-0.005916
456,0.005419,-0.006414
457,0.004985,-0.008107
458,0.004765,-0.009268
459,0.004538,-0.010373
460,0.004314,-0.011566
461,0.004088,-0.012689
462,0.003836,-0.013772
463,0.003546,-0.014853
464,0.003925,-0.014883
465,0.003199,-0.017137
466,0.002852,-0.018232
467,0.002579,-0.01938
468,0.003178,-0.019117
469,0.005339,-0.001023
470,0.005085,-0.002286
471,0.004841,-0.003449
472,0.004619,-0.004544
473,0.00434,-0.005739
474,0.004361,-0.006228
475,0.003951,-0.007916
476,0.003765,-0.009083
477,0.003545,-0.010165
478,0.003298,-0.011374
479,0.003048,-0.01246
480,0.002794,-0.013535
481,0.002596,-0.014609
482,0.002867,-0.014697
483,0.002104,-0.016886
484,0.001896,-0.017992
485,0.001602,-0.019253
486,0.002119,-0.018931
487,0.004255,-0.000881
488,0.004009,-0.002041
489,0.003804,-0.003274
490,0.003557,-0.00434
491,0.003333,-0.005479
492,0.0033,-0.006039
493,0.002948,-0.00765
494,0.002769,-0.008816
495,0.002521,-0.009984
496,0.002217,-0.01111
497,0.001975,-0.012186
498,0.001754,-0.013273
499,0.001559,-0.014355
500,0.001808,-0.014508
501,0.001111,-0.016628
502,0.000937,-0.017724
503,0.001247,-0.017686
504,0.001061,-0.018744
505,0.003171,-0.000663
506,0.002939,-0.001791
507,0.002741,-0.003004
508,0.002518,-0.004118
509,0.00227,-0.005201
510,0.002242,-0.005853
511,0.001981,-0.007453
512,0.001739,-0.008591
513,0.001477,-0.00976
514,0.001218,-0.010877
515,0.000964,-0.011926
516,0.000739,-0.013043
517,0.000495,-0.014159
518,0.00075,-0.014322
519,-0.000119,-0.01634
520,-0.000104,-0.017496
521,-0.000436,-0.018635
522,-0.000614,-0.019723
523,0.00216,-0.000417
524,0.001946,-0.001539
525,0.001738,-0.002689
526,0.001474,-0.003845
527,0.001288,-0.004891
528,0.001183,-0.005667
529,0.00094,-0.007237
530,0.000737,-0.008363
531,0.00044,-0.009496
532,0.000209,-0.01063
